strategy,period,n_seeds,in_sample,cagr_mean,cagr_ci_lo,cagr_ci_hi,ann_vol_mean,ann_vol_ci_lo,ann_vol_ci_hi,sharpe_mean,sharpe_ci_lo,sharpe_ci_hi,sortino_mean,sortino_ci_lo,sortino_ci_hi,max_drawdown_mean,max_drawdown_ci_lo,max_drawdown_ci_hi,calmar_mean,calmar_ci_lo,calmar_ci_hi,cvar_95_mean,cvar_95_ci_lo,cvar_95_ci_hi,ann_turnover_mean,ann_turnover_ci_lo,ann_turnover_ci_hi
random,calm_2023_24,1,False,0.050545115153142195,0.050545115153142195,0.050545115153142195,0.10474362747602166,0.10474362747602166,0.10474362747602166,0.523144451867535,0.523144451867535,0.523144451867535,0.7247902461293552,0.7247902461293552,0.7247902461293552,-0.15082812471500506,-0.15082812471500506,-0.15082812471500506,0.33511730818538604,0.33511730818538604,0.33511730818538604,0.015322782348909126,0.015322782348909126,0.015322782348909126,251.23741995263984,251.23741995263984,251.23741995263984
random,covid_crash,1,False,-0.4404947056816775,-0.4404947056816775,-0.4404947056816775,0.28213700871825703,0.28213700871825703,0.28213700871825703,-1.9114000318456954,-1.9114000318456954,-1.9114000318456954,-1.7533637194575717,-1.7533637194575717,-1.7533637194575717,-0.2410184880877363,-0.2410184880877363,-0.2410184880877363,-1.8276386561736593,-1.8276386561736593,-1.8276386561736593,0.055668056802223774,0.055668056802223774,0.055668056802223774,215.78069236719855,215.78069236719855,215.78069236719855
random,gfc,1,False,0.0036401550595301924,0.0036401550595301924,0.0036401550595301924,0.20889834344866293,0.20889834344866293,0.20889834344866293,0.12170312743505396,0.12170312743505396,0.12170312743505396,0.16823773912774262,0.16823773912774262,0.16823773912774262,-0.264752527045086,-0.264752527045086,-0.264752527045086,0.013749274086854297,0.013749274086854297,0.013749274086854297,0.030288819989248792,0.030288819989248792,0.030288819989248792,251.55333921548052,251.55333921548052,251.55333921548052
random,inflation_2022,1,False,-0.12144364233194171,-0.12144364233194171,-0.12144364233194171,0.14691970557990502,0.14691970557990502,0.14691970557990502,-0.8081818286817151,-0.8081818286817151,-0.8081818286817151,-1.3957952321867957,-1.3957952321867957,-1.3957952321867957,-0.19270810188160736,-0.19270810188160736,-0.19270810188160736,-0.6301947927781061,-0.6301947927781061,-0.6301947927781061,0.01851614198150095,0.01851614198150095,0.01851614198150095,238.38336871372655,238.38336871372655,238.38336871372655
random,recovery_2020_21,1,False,-0.06274925575579005,-0.06274925575579005,-0.06274925575579005,0.09513538556335747,0.09513538556335747,0.09513538556335747,-0.6336024544934191,-0.6336024544934191,-0.6336024544934191,-0.87599233150108,-0.87599233150108,-0.87599233150108,-0.14609942640022477,-0.14609942640022477,-0.14609942640022477,-0.42949693439517506,-0.42949693439517506,-0.42949693439517506,0.014675045601270321,0.014675045601270321,0.014675045601270321,247.02832703034764,247.02832703034764,247.02832703034764
random,val,1,False,-0.01569396345352292,-0.01569396345352292,-0.01569396345352292,0.08103354496376375,0.08103354496376375,0.08103354496376375,-0.15474370813890814,-0.15474370813890814,-0.15474370813890814,-0.21752182595960093,-0.21752182595960093,-0.21752182595960093,-0.23529389014779933,-0.23529389014779933,-0.23529389014779933,-0.06669940916725373,-0.06669940916725373,-0.06669940916725373,0.011944835762563964,0.011944835762563964,0.011944835762563964,252.7353772322715,252.7353772322715,252.7353772322715
static_60_30_10,calm_2023_24,1,False,0.1576640985774065,0.1576640985774065,0.1576640985774065,0.084949309934156,0.084949309934156,0.084949309934156,1.7663376727331053,1.7663376727331053,1.7663376727331053,2.5920291073327384,2.5920291073327384,2.5920291073327384,-0.07508523073049078,-0.07508523073049078,-0.07508523073049078,2.099801745876262,2.099801745876262,2.099801745876262,0.011536808094992588,0.011536808094992588,0.011536808094992588,1.1630369316332592,1.1630369316332592,1.1630369316332592
static_60_30_10,covid_crash,1,False,0.0009807408877871016,0.0009807408877871016,0.0009807408877871016,0.2956618743137589,0.2956618743137589,0.2956618743137589,0.15031434360317017,0.15031434360317017,0.15031434360317017,0.19095912564514186,0.19095912564514186,0.19095912564514186,-0.1996264273190631,-0.1996264273190631,-0.1996264273190631,0.004912881029622308,0.004912881029622308,0.004912881029622308,0.04699162835688627,0.04699162835688627,0.04699162835688627,4.487630338836867,4.487630338836867,4.487630338836867
static_60_30_10,gfc,1,False,-0.05943570585734492,-0.05943570585734492,-0.05943570585734492,0.20698822979936154,0.20698822979936154,0.20698822979936154,-0.19311809501601326,-0.19311809501601326,-0.19311809501601326,-0.2742502486023393,-0.2742502486023393,-0.2742502486023393,-0.31342922890822233,-0.31342922890822233,-0.31342922890822233,-0.1896303866246908,-0.1896303866246908,-0.1896303866246908,0.030380021860494915,0.030380021860494915,0.030380021860494915,2.533613241731885,2.533613241731885,2.533613241731885
static_60_30_10,inflation_2022,1,False,-0.12352631622428978,-0.12352631622428978,-0.12352631622428978,0.16380820333161375,0.16380820333161375,0.16380820333161375,-0.723199185168554,-0.723199185168554,-0.723199185168554,-1.1732397214891621,-1.1732397214891621,-1.1732397214891621,-0.176487464548314,-0.176487464548314,-0.176487464548314,-0.6999155239746451,-0.6999155239746451,-0.6999155239746451,0.02215926968786594,0.02215926968786594,0.02215926968786594,2.145700069058989,2.145700069058989,2.145700069058989
static_60_30_10,recovery_2020_21,1,False,0.15817027801600636,0.15817027801600636,0.15817027801600636,0.09074069778069493,0.09074069778069493,0.09074069778069493,1.6640408437684042,1.6640408437684042,1.6640408437684042,2.2305816387201505,2.2305816387201505,2.2305816387201505,-0.06163927089615229,-0.06163927089615229,-0.06163927089615229,2.566063415683261,2.566063415683261,2.566063415683261,0.013542656498668943,0.013542656498668943,0.013542656498668943,1.3502262578830355,1.3502262578830355,1.3502262578830355
static_60_30_10,val,1,False,0.11174998473971143,0.11174998473971143,0.11174998473971143,0.07041762042910699,0.07041762042910699,0.07041762042910699,1.5399067297536906,1.5399067297536906,1.5399067297536906,1.9215894656564934,1.9215894656564934,1.9215894656564934,-0.10647557749799696,-0.10647557749799696,-0.10647557749799696,1.0495363102568163,1.0495363102568163,1.0495363102568163,0.011146004199495227,0.011146004199495227,0.011146004199495227,0.9929250663971435,0.9929250663971435,0.9929250663971435
