strategy,kind,seed,period,in_sample,total_return,cagr,ann_vol,sharpe,sortino,max_drawdown,calmar,var_95,cvar_95,n_days,avg_daily_turnover,ann_turnover,avg_w_SPY,avg_w_IEF,avg_w_GLD
DQN,rl,0,inflation_2022,False,-0.1832621565872311,-0.2069607087116334,0.19652792805488803,-1.0814476157325275,-1.676278411765743,-0.24511767869688084,-0.8443320359914416,0.020825885668731316,0.028747603634594388,220,0.6313307085493888,159.09533855444596,0.5363382216143032,0.2670566192023912,0.1966051591833055
DQN,rl,1,inflation_2022,False,-0.2418378024710951,-0.27176259666191227,0.20917462699227385,-1.4106873167004639,-2.059800152552189,-0.282893592196767,-0.9606530658809954,0.024493440732557124,0.032786625249287354,220,0.599554922430898,151.0878404525863,0.6272618449806275,0.20119026621469416,0.1715478888046784
DQN,rl,2,inflation_2022,False,-0.1423350947863885,-0.1612773197437719,0.1598349253079539,-1.0204812843586393,-1.6540953812198695,-0.20038060044024164,-0.8048549579622041,0.015233511943554028,0.02263071026707913,220,0.5381527302174691,135.61448801480222,0.2498849097747756,0.24325359246927136,0.506861497755953
DQN,rl,3,inflation_2022,False,-0.09624223854697023,-0.10944733116659155,0.21229652066749113,-0.44036306570781714,-0.7210722671502636,-0.18803662146784594,-0.5820532740496347,0.02187086747492247,0.029703944994290795,220,0.6608345730966013,166.53031242034353,0.655592403538672,0.2023776266847431,0.14202996977658489
DQN,rl,4,inflation_2022,False,-0.08454099007901994,-0.09622753123302907,0.19679963394455172,-0.4163763107925684,-0.7165076985755587,-0.20688886037677456,-0.4651170249465573,0.017858879586193897,0.026022574275483597,220,0.8466303112293235,213.35083842978952,0.49536965045857145,0.17841756661842018,0.3262127829230085
PPO,rl,0,inflation_2022,False,-0.25728363704761414,-0.2887314449782036,0.14314235563722522,-2.307026940856845,-3.1233806365662486,-0.27800120518561755,-1.0385978175361563,0.015244697334647,0.023800275718857924,220,0.6469281474240293,163.02589315085538,0.15624559266856244,0.6271541356407828,0.21660027169065468
PPO,rl,1,inflation_2022,False,-0.14739416989517207,-0.1669418391776989,0.1597307443579475,-1.063525020104749,-1.7114334169119068,-0.21150164599329102,-0.7893169738404514,0.016738259297031363,0.022281367002476935,220,0.8016242590831003,202.00931328894129,0.381173876577174,0.4544943845004189,0.16433173892240713
PPO,rl,2,inflation_2022,False,-0.1483644840433992,-0.1680277178175984,0.1309185102515388,-1.3394038445611018,-2.1265826656151705,-0.21926198311849487,-0.7663331117770282,0.013652043360707111,0.01749583241048944,220,0.5301704924776368,133.60296410436447,0.09235520898171962,0.6257192360030605,0.28192555501522
PPO,rl,3,inflation_2022,False,0.00806464659901085,0.00924309178957694,0.19802432497595154,0.14509904735185436,0.22799321162759406,-0.17706781970923702,0.05220085617338609,0.017915219152620045,0.028098470364980352,220,0.7134444978877298,179.7880134677079,0.6094359672082879,0.1931821895837916,0.19738184320792063
PPO,rl,4,inflation_2022,False,-0.24928017134887925,-0.2799451505669496,0.18020090482984807,-1.7312903257280867,-2.34093201420295,-0.31419778922096764,-0.890983833021406,0.020452868823124422,0.030098773407632683,220,0.794215254686583,200.14224418101892,0.33849033849014076,0.24909962945493216,0.41241003205492704
static_60_30_10,baseline,-1,calm_2023_24,False,0.31397326934605574,0.1576640985774065,0.084949309934156,1.7663376727331053,2.5920291073327384,-0.07508523073049078,2.099801745876262,0.007898206628971845,0.011536808094992588,470,0.0046152259191796,1.1630369316332592,0.6001379403250112,0.29984408765468423,0.10001797202030444
equal_weight,baseline,-1,calm_2023_24,False,0.2892659566777007,0.14594129487425156,0.07985539397101472,1.7462189115419586,2.6799310012095914,-0.0721780770356314,2.021961527212844,0.00762385720837505,0.010535905628827669,470,0.00413020778784408,1.0408123625367083,0.33342777736368606,0.33317152141791984,0.33340070121839405
buy_and_hold,baseline,-1,calm_2023_24,False,0.29712974670555314,0.14968361990684387,0.08238123595367121,1.7347649227167958,2.6279570713329945,-0.07248642165054664,2.064988400565019,0.008005340479077689,0.010961227895158134,470,3.602319388411412e-17,9.077844858796759e-15,0.35215723775769037,0.3002910275471737,0.34755173469513595
inverse_vol,baseline,-1,calm_2023_24,False,0.24271167949374095,0.12356599509751809,0.07397219264130679,1.6122779314672273,2.602855444892257,-0.07228005762324052,1.7095447784727191,0.006915511645577043,0.009432203620778639,470,0.009963662333702744,2.5108429080930916,0.28649439038200203,0.4483962746987267,0.26510933491927124
random,baseline,-1,calm_2023_24,False,0.09632704934813541,0.050545115153142195,0.10474362747602166,0.523144451867535,0.7247902461293552,-0.15082812471500506,0.33511730818538604,0.010197882963184707,0.015322782348909126,470,0.9969738887009517,251.23741995263984,0.3335298839162332,0.3296978938121826,0.33677222227158404
