strategy,kind,seed,period,total_return,cagr,ann_vol,sharpe,sortino,max_drawdown,calmar,var_95,cvar_95,n_days,avg_daily_turnover,ann_turnover,avg_w_SPY,avg_w_IEF,avg_w_GLD
DQN,rl,1,calm_2023_24,-0.2550923955548231,-0.14027796383970348,0.1543369816152787,-0.9011607246445809,-1.0010977732083564,-0.35672965744049745,-0.3932332535685006,0.013987228326770029,0.02552525058342161,491,0.7415752309043178,186.87695818788808,0.3630333725683008,0.2688742008390983,0.36809242659260083
DQN,rl,2,calm_2023_24,-0.0623258918715055,-0.032488853103372906,0.1231043897415479,-0.20648383309366977,-0.2512520220010972,-0.22632016062547622,-0.14355262480189193,0.011561314284676369,0.019182186936390237,491,0.7206315781111037,181.59915768399813,0.3865226603284927,0.30031853772717887,0.3131588019443284
PPO,rl,0,calm_2023_24,-0.1580003096859801,-0.08448129116468761,0.11774956286639922,-0.6904678238700294,-0.8961791413325472,-0.2329280502164801,-0.36269264730534545,0.011632995995402816,0.018309577705939807,491,0.8804454140505341,221.8722443407346,0.2966719013892073,0.34520380422142594,0.3581242943893668
PPO,rl,1,calm_2023_24,-0.040151565591791116,-0.020812808133388372,0.11184790798280156,-0.13219042710981263,-0.18873363343202967,-0.22789102032691277,-0.09132789920169787,0.010361274296268836,0.015692376474123165,491,0.6910511053412078,174.14487854598437,0.22169905167798623,0.34372112744394673,0.43457982087806707
PPO,rl,2,calm_2023_24,-0.18992818987503401,-0.10246629298090748,0.10463050744796693,-0.9807817402191942,-1.4937708112268322,-0.2323853457727859,-0.4409326786082871,0.010764894096297375,0.01499450896907307,491,0.9280646597986049,233.8722942692484,0.325003513740769,0.33839273977521384,0.3366037464840171
static_60_30_10,baseline,-1,gfc,-0.1702059834662082,-0.09131689191783632,0.11544944208863873,-0.7716035407884247,-1.09952347750604,-0.29278629112194654,-0.3118892335017233,0.012950665197157176,0.01718310732565845,491,0.005448594754017788,1.3730458780124826,0.6000251236797977,0.299984566808694,0.09999030951150843
equal_weight,baseline,-1,gfc,-0.18736053517557405,-0.1010073165297285,0.09266315448994605,-1.1025766898081775,-1.6321143095272166,-0.26169141803991314,-0.3859787122034047,0.009860107973893804,0.013241724509845603,491,0.005439147370732116,1.3706651374244934,0.3333684406343408,0.3333282357373507,0.33330332362830845
buy_and_hold,baseline,-1,gfc,-0.19592140921057466,-0.10588050622047962,0.09301909430286807,-1.156407658163879,-1.6973542714613123,-0.2674591186422215,-0.3958754771869093,0.009741886205270545,0.013337956714154836,491,3.335191367254798e-17,8.404682245482091e-15,0.33842937557669484,0.3339917792931321,0.327578845130173
inverse_vol,baseline,-1,gfc,-0.19162714871185726,-0.10343290237029834,0.08202103478016047,-1.2898844876145406,-1.8231031438153689,-0.24623124734573643,-0.42006407994622585,0.008772831608178204,0.012300959612818019,491,0.010861907672002154,2.737200733344543,0.24095997403180497,0.5216022460576542,0.23743777991054094
random,baseline,-1,gfc,-0.44142814131039076,-0.2583631762802726,0.1144709505159872,-2.5523195905351894,-3.6968399423822507,-0.4778228260502849,-0.5407091545121854,0.012687147493089471,0.017471610976022248,491,0.9960531347740235,251.00538996305391,0.3412149920191957,0.32438674424449515,0.3343982637363092
DQN,rl,0,gfc,3.3778388510318518,1.133629797104387,0.12217823446304805,6.2725702383068285,11.637122034714924,-0.03302295254325216,34.328541508201106,0.008003040588788993,0.011939399056980353,491,0.9109338193185491,229.55532246827437,0.3625031886065647,0.3150486089482587,0.3224482024451766
DQN,rl,1,gfc,4.446945550137974,1.3868323955288178,0.12136220493582078,7.241018874306391,13.21409437867962,-0.03889525506079661,35.655567584299945,0.007804012426659956,0.01137800336521455,491,0.9162222295805974,230.88800185431055,0.37114311833799224,0.26926141211832655,0.3595954695436812
DQN,rl,2,gfc,4.0411578075663215,1.293852274098744,0.1194296355458471,7.022425653050136,13.07673146024275,-0.03588070407899857,36.059835148442694,0.008524974325617909,0.01185485793262173,491,0.9141084937597608,230.3553404274597,0.41247582011921136,0.2940641976606615,0.2934599822201272
PPO,rl,0,gfc,-0.056406980269238294,-0.02935917754671169,0.13067265273381334,-0.1628316696802057,-0.2385365259520429,-0.2100440189664634,-0.1397763082765966,0.013930437578159923,0.018798127842858055,491,0.8353900669102269,210.51829686137717,0.3341863925548472,0.35653449730595954,0.3092791101391933
PPO,rl,1,gfc,-0.10618426175947437,-0.0559856293011286,0.12900467282358175,-0.3822642940573306,-0.6427592390374364,-0.2419719072164358,-0.23137243469776567,0.013440357287478215,0.016841394995314802,491,0.7768719244040913,195.771724949831,0.3136172515390261,0.3090758168897475,0.37730693157122625
PPO,rl,2,gfc,-0.13526826526056812,-0.07187789490311747,0.12739797424238333,-0.5219577439986544,-0.9319954084673009,-0.2554710896191439,-0.2813543207972103,0.012472074945812844,0.015515968467860759,491,0.9217235292848635,232.2743293797856,0.2929444154228516,0.32615695601863065,0.3808986285585178
